,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,5,14,9,30,36,35,26,8,3,24,29,7,22,15,3,5,29,13,8,6,18,18,0,30,25,1,0,5,28,1,4,30,1,2,1,20,15,32,9,0,7,1,2,17,31,35,14,12,1,0,11,0,40,28,2,0,15,20,5,3,9,32,0,0,0,33,4,11,40,38,39,3,0,4,13,18,6,0,18,27,30,21,14,12,29,35,29,17,11,6,3,23,24,31,22,0,18,0,4,6,0
00:02:09,5,14,9,30,36,35,26,8,3,24,29,7,22,14,3,4,29,13,8,6,18,18,0,30,26,1,0,5,28,1,4,30,1,2,1,20,15,32,9,1,7,1,2,17,31,35,14,12,1,0,11,0,40,28,2,0,17,21,5,3,9,32,0,0,0,33,4,11,40,38,39,3,0,5,13,18,7,0,18,27,30,21,14,12,29,35,29,17,11,6,3,23,24,31,22,0,18,0,4,6,0
00:04:08,5,14,9,30,36,35,26,8,3,24,29,7,22,14,3,4,30,13,8,6,18,18,0,29,26,1,0,5,28,1,4,30,1,2,1,20,15,32,9,1,7,1,2,16,32,35,13,12,1,0,11,0,40,28,2,0,17,21,5,3,9,32,0,0,0,34,4,11,40,38,39,3,0,5,13,18,7,0,18,27,30,21,14,13,29,35,29,17,11,6,3,23,24,31,22,0,18,0,4,6,0
00:06:09,5,14,9,30,36,35,26,8,3,24,29,7,22,14,3,4,30,13,8,6,18,18,0,29,26,1,0,5,28,1,4,30,1,2,1,20,15,32,9,1,7,1,2,16,32,35,13,12,1,0,11,0,40,28,2,0,17,21,5,3,9,32,0,0,0,34,4,11,40,38,39,3,0,5,13,18,7,0,18,27,30,21,14,13,29,35,29,17,11,6,3,23,24,31,22,0,18,0,4,6,0
00:08:09,5,14,9,30,36,35,26,8,3,24,29,7,22,14,3,4,30,13,8,6,18,18,0,29,26,1,0,5,28,1,4,30,1,2,1,20,15,32,9,1,7,1,2,16,32,35,13,12,1,0,11,0,40,28,2,0,17,21,4,3,9,32,0,0,0,35,4,11,40,38,39,3,0,5,13,18,7,0,18,25,30,21,14,13,29,35,29,17,11,6,3,23,24,31,22,0,19,0,4,6,0
00:10:09,5,14,9,30,36,34,26,8,3,24,29,7,22,14,3,4,30,13,8,6,18,18,0,29,26,1,0,4,28,1,4,30,1,2,1,20,15,32,9,1,7,1,2,16,32,35,13,12,1,0,11,0,40,28,2,0,17,21,4,3,9,32,0,0,0,36,4,11,40,38,39,3,0,5,14,18,7,0,18,25,30,21,14,13,29,35,29,17,11,6,3,24,24,32,22,0,19,0,4,6,0
00:12:09,5,14,9,30,36,34,26,8,3,24,29,7,22,14,3,4,30,13,8,6,18,18,0,29,26,1,0,4,28,1,4,30,1,2,1,20,15,32,9,1,7,1,2,16,32,35,13,12,1,0,11,0,40,28,2,0,17,21,4,3,9,32,0,0,0,36,4,11,40,38,39,3,0,5,14,18,7,0,18,25,30,21,14,13,29,35,29,17,11,6,3,24,24,32,22,0,19,0,4,6,0
00:14:09,5,14,9,30,36,34,26,8,3,24,29,7,22,14,3,4,30,13,8,6,18,18,0,29,26,1,0,4,28,1,4,30,1,2,1,20,15,32,9,1,8,1,1,16,32,35,13,12,1,0,11,0,40,29,2,0,17,21,4,3,9,32,0,0,0,36,4,11,40,38,39,3,2,5,14,18,8,0,18,25,30,21,14,13,29,35,29,17,11,6,2,24,24,32,22,0,19,0,4,6,0
00:16:09,5,14,9,30,36,34,26,9,3,24,29,8,22,14,3,4,30,13,7,6,18,18,0,29,26,1,0,4,28,1,4,30,1,1,1,20,15,32,9,1,8,1,1,15,32,35,13,12,1,0,11,0,40,29,2,0,17,21,4,3,9,32,0,0,0,36,4,11,40,38,39,3,2,5,14,18,8,0,18,25,30,21,14,13,29,35,29,17,11,6,2,24,24,32,22,0,19,0,5,6,0
00:18:09,5,14,9,30,36,34,26,9,3,24,29,8,22,14,3,4,30,13,7,6,18,18,0,29,26,1,0,4,28,1,4,30,1,1,1,20,15,32,9,1,8,1,1,15,32,35,13,12,1,0,11,0,40,29,2,0,17,21,4,3,9,32,0,0,0,36,4,11,40,38,39,3,2,5,14,18,8,0,18,25,30,21,14,13,29,35,29,17,11,6,2,24,24,32,22,0,19,0,5,6,0
